"price","date"
18066,"1992-09-18"
18283,"1992-09-21"
18610,"1992-09-22"
18395,"1992-09-24"
17973,"1992-09-25"
17748,"1992-09-28"
17399,"1992-09-29"
17370,"1992-09-30"
17324,"1992-10-01"
17102,"1992-10-02"
17268,"1992-10-05"
17112,"1992-10-06"
17336,"1992-10-07"
17060,"1992-10-08"
17302,"1992-10-09"
17491,"1992-10-12"
17344,"1992-10-13"
17628,"1992-10-14"
17370,"1992-10-15"
16904,"1992-10-16"
16988,"1992-10-19"
17142,"1992-10-20"
17013,"1992-10-21"
17118,"1992-10-22"
17011,"1992-10-23"
17185,"1992-10-26"
17068,"1992-10-27"
16938,"1992-10-28"
16767,"1992-10-29"
16853,"1992-10-30"
17065,"1992-11-02"
17032,"1992-11-04"
16870,"1992-11-05"
16417,"1992-11-06"
16437,"1992-11-09"
16318,"1992-11-10"
16377,"1992-11-11"
16331,"1992-11-12"
16163,"1992-11-13"
15993,"1992-11-16"
16779,"1992-11-17"
16871,"1992-11-18"
17034,"1992-11-19"
17096,"1992-11-20"
17302,"1992-11-24"
17479,"1992-11-25"
17471,"1992-11-26"
17684,"1992-11-27"
17313,"1992-11-30"
17394,"1992-12-01"
17260,"1992-12-02"
17296,"1992-12-03"
17207,"1992-12-04"
17282,"1992-12-07"
17406,"1992-12-08"
17501,"1992-12-09"
17441,"1992-12-10"
17290,"1992-12-11"
17481,"1992-12-14"
17269,"1992-12-15"
17438,"1992-12-16"
17681,"1992-12-17"
17645,"1992-12-18"
17691,"1992-12-21"
17649,"1992-12-22"
17557,"1992-12-24"
17189,"1992-12-25"
17286,"1992-12-28"
16925,"1992-12-29"
16994,"1992-12-30"
16843,"1993-01-04"
16783,"1993-01-05"
16781,"1993-01-06"
16635,"1993-01-07"
16590,"1993-01-08"
16681,"1993-01-11"
16518,"1993-01-12"
16516,"1993-01-13"
16617,"1993-01-14"
16799,"1993-01-18"
16510,"1993-01-19"
16539,"1993-01-20"
16337,"1993-01-21"
16287,"1993-01-22"
16493,"1993-01-25"
16510,"1993-01-26"
17063,"1993-01-27"
17024,"1993-01-28"
17134,"1993-01-29"
17186,"1993-02-01"
17222,"1993-02-02"
17191,"1993-02-03"
17333,"1993-02-04"
17282,"1993-02-05"
17022,"1993-02-08"
17090,"1993-02-09"
16852,"1993-02-10"
17118,"1993-02-12"
16916,"1993-02-15"
17010,"1993-02-16"
16982,"1993-02-17"
17010,"1993-02-18"
16821,"1993-02-19"
16863,"1993-02-22"
16799,"1993-02-23"
16907,"1993-02-24"
16953,"1993-02-25"
16880,"1993-02-26"
16864,"1993-03-01"
16854,"1993-03-02"
16760,"1993-03-03"
16818,"1993-03-04"
17686,"1993-03-05"
17848,"1993-03-08"
17859,"1993-03-09"
17905,"1993-03-10"
18038,"1993-03-11"
18086,"1993-03-12"
17968,"1993-03-15"
18173,"1993-03-16"
18728,"1993-03-17"
18537,"1993-03-18"
18784,"1993-03-22"
18492,"1993-03-23"
18451,"1993-03-24"
18765,"1993-03-25"
18789,"1993-03-26"
19048,"1993-03-29"
18963,"1993-03-30"
18591,"1993-03-31"
19099,"1993-04-01"
19447,"1993-04-02"
19759,"1993-04-05"
19487,"1993-04-06"
19829,"1993-04-07"
19967,"1993-04-08"
19892,"1993-04-09"
19882,"1993-04-12"
20740,"1993-04-13"
20533,"1993-04-14"
20676,"1993-04-15"
20298,"1993-04-16"
20112,"1993-04-19"
19828,"1993-04-20"
19773,"1993-04-21"
19591,"1993-04-22"
19704,"1993-04-23"
19624,"1993-04-26"
20207,"1993-04-27"
20455,"1993-04-28"
20919,"1993-04-30"
20622,"1993-05-06"
20811,"1993-05-07"
21055,"1993-05-10"
20940,"1993-05-11"
20615,"1993-05-12"
20533,"1993-05-13"
20474,"1993-05-14"
20566,"1993-05-17"
20229,"1993-05-18"
20381,"1993-05-19"
20330,"1993-05-20"
20557,"1993-05-21"
20476,"1993-05-24"
20632,"1993-05-25"
20896,"1993-05-26"
20853,"1993-05-27"
20844,"1993-05-28"
20552,"1993-05-31"
20591,"1993-06-01"
20692,"1993-06-02"
21076,"1993-06-03"
20882,"1993-06-04"
20844,"1993-06-07"
20575,"1993-06-08"
20493,"1993-06-10"
20501,"1993-06-11"
20397,"1993-06-14"
20046,"1993-06-15"
19902,"1993-06-16"
19926,"1993-06-17"
19805,"1993-06-18"
19212,"1993-06-21"
19538,"1993-06-22"
19493,"1993-06-23"
19685,"1993-06-24"
19660,"1993-06-25"
19887,"1993-06-28"
19543,"1993-06-29"
19590,"1993-06-30"
19925,"1993-07-01"
19621,"1993-07-02"
19623,"1993-07-05"
19830,"1993-07-06"
19721,"1993-07-07"
19689,"1993-07-08"
19877,"1993-07-09"
19980,"1993-07-12"
20180,"1993-07-13"
20139,"1993-07-14"
20158,"1993-07-15"
20332,"1993-07-16"
20151,"1993-07-19"
20038,"1993-07-20"
20081,"1993-07-21"
20116,"1993-07-22"
19735,"1993-07-23"
19822,"1993-07-26"
19891,"1993-07-27"
19830,"1993-07-28"
20457,"1993-07-29"
20380,"1993-07-30"
20344,"1993-08-02"
20358,"1993-08-03"
20498,"1993-08-04"
20426,"1993-08-05"
20358,"1993-08-06"
20493,"1993-08-09"
20494,"1993-08-10"
20733,"1993-08-11"
20765,"1993-08-12"
20745,"1993-08-13"
20901,"1993-08-16"
20842,"1993-08-17"
20773,"1993-08-18"
20687,"1993-08-19"
20607,"1993-08-20"
20414,"1993-08-23"
20432,"1993-08-24"
20521,"1993-08-25"
20592,"1993-08-26"
20792,"1993-08-27"
20913,"1993-08-30"
21027,"1993-08-31"
20953,"1993-09-01"
20983,"1993-09-02"
21116,"1993-09-03"
21061,"1993-09-06"
20962,"1993-09-07"
20918,"1993-09-08"
20826,"1993-09-09"
20818,"1993-09-10"
21148,"1993-09-13"
20948,"1993-09-14"
20502,"1993-09-16"
20391,"1993-09-17"
20266,"1993-09-20"
20467,"1993-09-21"
20175,"1993-09-23"
20308,"1993-09-24"
20094,"1993-09-27"
20173,"1993-09-28"
20077,"1993-09-29"
20106,"1993-09-30"
20283,"1993-10-01"
20264,"1993-10-04"
20322,"1993-10-05"
20500,"1993-10-06"
20266,"1993-10-07"
20379,"1993-10-08"
20137,"1993-10-12"
20038,"1993-10-13"
20083,"1993-10-14"
20174,"1993-10-15"
20072,"1993-10-18"
20070,"1993-10-19"
20173,"1993-10-20"
20179,"1993-10-21"
20265,"1993-10-22"
20309,"1993-10-25"
20024,"1993-10-26"
19839,"1993-10-27"
19479,"1993-10-28"
19703,"1993-10-29"
19438,"1993-11-01"
19381,"1993-11-02"
18950,"1993-11-04"
18590,"1993-11-05"
18625,"1993-11-08"
18126,"1993-11-09"
18122,"1993-11-10"
18159,"1993-11-11"
18494,"1993-11-12"
18075,"1993-11-15"
18246,"1993-11-16"
18109,"1993-11-17"
18166,"1993-11-18"
17941,"1993-11-19"
17385,"1993-11-22"
17067,"1993-11-24"
17223,"1993-11-25"
16726,"1993-11-26"
16079,"1993-11-29"
16407,"1993-11-30"
17125,"1993-12-01"
17459,"1993-12-02"
17459,"1993-12-03"
16840,"1993-12-06"
16903,"1993-12-07"
16508,"1993-12-08"
17062,"1993-12-09"
17257,"1993-12-10"
17327,"1993-12-13"
17309,"1993-12-14"
17489,"1993-12-15"
17789,"1993-12-16"
18052,"1993-12-17"
17404,"1993-12-20"
17315,"1993-12-21"
17446,"1993-12-22"
17141,"1993-12-24"
16820,"1993-12-27"
17131,"1993-12-28"
17272,"1993-12-29"
17417,"1993-12-30"
