"minute","price","area","age"
3,6200,65,15
3,2600,20,9
9,2200,20,17
3,5000,55,15
3,2400,30,49
3,2700,20,9
10,1900,20,38
10,4000,30,17
7,3900,50,22
8,6200,55,22
3,1700,15,37
3,5800,40,22
3,1700,15,37
10,13000,90,24
8,3600,40,53
4,2900,30,48
3,7900,50,5
5,4700,45,48
4,7300,65,48
5,12000,105,44
4,9000,105,48
5,3200,45,44
5,4400,40,44
7,5900,75,60
5,8000,95,44
6,4300,45,18
5,4100,55,53
7,6800,50,6
4,5800,60,49
5,11000,85,21
7,5500,55,18
3,2200,20,45
11,6600,50,16
3,1700,20,45
3,3500,20,7
3,980,20,45
8,3600,20,19
8,3000,20,19
3,2600,20,7
3,3200,20,7
3,1700,20,45
3,1700,20,45
7,3100,20,7
3,3000,30,45
3,1700,20,45
7,2700,20,22
3,1800,20,45
3,1500,20,45
4,5500,60,43
5,3200,25,13
7,13000,70,1
8,5800,60,51
6,3000,20,10
8,9000,75,21
6,2800,20,10
5,4300,35,32
5,1400,30,32
2,3100,25,18
6,6800,50,25
6,6300,50,25
5,4000,45,53
3,5500,50,45
5,3000,45,53
5,4200,45,53
6,12000,80,22
5,2800,25,19
4,2600,20,18
13,1000,15,26
4,2700,20,18
4,8000,50,10
13,1400,15,26
4,7600,60,10
5,2900,20,19
8,1400,15,37
4,2700,20,9
3,4500,35,17
6,4000,30,22
4,2600,20,9
6,4300,35,19
8,8900,85,29
10,8100,70,21
8,10000,85,29
7,8900,50,7
7,7900,50,7
6,16000,90,13
1,12000,65,6
